etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.channelTitle,statistics.viewCount,statistics.likeCount,statistics.dislikeCount,statistics.commentCount,statistics.subscriberCount
zifHLvxYZbvQthWwjzVf4JIKFpE,bBq4C5GqaGg,2023-08-29T03:30:10Z,UC3IVNySlKxgBW66iwkF5iuA,Ab Yaad Na Aao Rehne Do (Slowed and Reverb) -  || Nasheed || Tabeeb E Qalb,Tabeeb E Qalb,1169924,24775,,678,8560
yFcAPdE_t_4C7GOODfxeikJ8Cdg,dhVnU7pVphI,2024-03-31T21:34:14Z,UCaH5LxHSp18aJVPbzaP4YQg,How To Fix Error 400 redirect_uri_mismatch (2024 Guide),How To Social,12,0,,0,3690
Lbukkpgz1uw3V_btMboND51seSA,57ESIHvkJvQ,2021-10-23T17:14:40Z,UCu0ptJJGJ-nzSvR4Jch8vSg,Aaya woh phir nazar Aise [Slowed + Reverbed] - Use Headphones | Tune Jo Na kaha | Lyrics | HQ,RouteScale,2399221,22657,,923,117000
pAhb8d5d4EOQO2e--GITm9wXW2U,FMJnqSS_EnE,2024-05-16T14:08:19Z,UC78xn4xo6Kr3mgEuG7q-sbg,Kabe Ki Ronaq - (Slowed   Reverb) - Ghulam Mustafa Qadri | Its.Faizee_92,NoobBôT92,1245,21,,1,1040
pAhb8d5d4EOQO2e--GITm9wXW2U,FMJnqSS_EnE,2024-05-16T14:08:19Z,UC78xn4xo6Kr3mgEuG7q-sbg,Kabe Ki Ronaq - (Slowed   Reverb) - Ghulam Mustafa Qadri | Its.Faizee_92,NoobBôT92,1245,21,,1,1040
UWNHBM-V33hTHQfM9yy4Yo_3sDI,Sli8Y8LbDF8,2022-11-23T13:46:31Z,UCngYZTjXLk-n2OVc-ka-t0w,is sham e faroza ko    in aankhon ki masti    tiktok Viral Video     #starter #remix #sad #viral,LoFi_Sky 1M ,7693,93,,4,933
i8-wrAppQOCb9KyHtr0I1P7CTsQ,i0J_xO-AH0s,2020-12-07T13:00:24Z,UCPSqEucAapDUvu6E9SueXTQ,SLANDER - Love Is Gone (ft. Dylan Matthew) | 8D audio | [USE HEADPHONES],Nitro Boylit,97364,2273,,83,2400
i8-wrAppQOCb9KyHtr0I1P7CTsQ,i0J_xO-AH0s,2020-12-07T13:00:24Z,UCPSqEucAapDUvu6E9SueXTQ,SLANDER - Love Is Gone (ft. Dylan Matthew) | 8D audio | [USE HEADPHONES],Nitro Boylit,97364,2273,,83,2400
i8-wrAppQOCb9KyHtr0I1P7CTsQ,i0J_xO-AH0s,2020-12-07T13:00:24Z,UCPSqEucAapDUvu6E9SueXTQ,SLANDER - Love Is Gone (ft. Dylan Matthew) | 8D audio | [USE HEADPHONES],Nitro Boylit,97364,2273,,83,2400
i8-wrAppQOCb9KyHtr0I1P7CTsQ,i0J_xO-AH0s,2020-12-07T13:00:24Z,UCPSqEucAapDUvu6E9SueXTQ,SLANDER - Love Is Gone (ft. Dylan Matthew) | 8D audio | [USE HEADPHONES],Nitro Boylit,97364,2273,,83,2400
i8-wrAppQOCb9KyHtr0I1P7CTsQ,i0J_xO-AH0s,2020-12-07T13:00:24Z,UCPSqEucAapDUvu6E9SueXTQ,SLANDER - Love Is Gone (ft. Dylan Matthew) | 8D audio | [USE HEADPHONES],Nitro Boylit,97364,2273,,83,2400
l3V9gi0H2lpKvpKQB-XcWNd7x0Q,i0J_xO-AH0s,2020-12-07T13:00:24Z,UCPSqEucAapDUvu6E9SueXTQ,SLANDER - Love Is Gone (ft. Dylan Matthew) | 8D audio | [USE HEADPHONES],Nitro Boylit,97397,2274,,83,2400
GysnbcwKUTxcEHnDiHdqfAcEurs,i0J_xO-AH0s,2020-12-07T13:00:24Z,UCPSqEucAapDUvu6E9SueXTQ,SLANDER - Love Is Gone (ft. Dylan Matthew) | 8D audio | [USE HEADPHONES],Nitro Boylit,97395,2274,,83,2400
GysnbcwKUTxcEHnDiHdqfAcEurs,i0J_xO-AH0s,2020-12-07T13:00:24Z,UCPSqEucAapDUvu6E9SueXTQ,SLANDER - Love Is Gone (ft. Dylan Matthew) | 8D audio | [USE HEADPHONES],Nitro Boylit,97395,2274,,83,2400
GysnbcwKUTxcEHnDiHdqfAcEurs,i0J_xO-AH0s,2020-12-07T13:00:24Z,UCPSqEucAapDUvu6E9SueXTQ,SLANDER - Love Is Gone (ft. Dylan Matthew) | 8D audio | [USE HEADPHONES],Nitro Boylit,97395,2274,,83,2400
oSchm-HhSZgokhMeEYNFyEI0An0,i0J_xO-AH0s,2020-12-07T13:00:24Z,UCPSqEucAapDUvu6E9SueXTQ,SLANDER - Love Is Gone (ft. Dylan Matthew) | 8D audio | [USE HEADPHONES],Nitro Boylit,97417,2274,,83,2400
oSchm-HhSZgokhMeEYNFyEI0An0,i0J_xO-AH0s,2020-12-07T13:00:24Z,UCPSqEucAapDUvu6E9SueXTQ,SLANDER - Love Is Gone (ft. Dylan Matthew) | 8D audio | [USE HEADPHONES],Nitro Boylit,97417,2274,,83,2400
oSchm-HhSZgokhMeEYNFyEI0An0,i0J_xO-AH0s,2020-12-07T13:00:24Z,UCPSqEucAapDUvu6E9SueXTQ,SLANDER - Love Is Gone (ft. Dylan Matthew) | 8D audio | [USE HEADPHONES],Nitro Boylit,97417,2274,,83,2400
XwpJAoHpeorZGH_IAvDHod2_MYM,bBq4C5GqaGg,2023-08-29T03:30:10Z,UC3IVNySlKxgBW66iwkF5iuA,Ab Yaad Na Aao Rehne Do (Slowed and Reverb) -  || Nasheed || Tabeeb E Qalb,Tabeeb E Qalb,1273415,26066,,733,8960
02RWabDcU_VwA3UxHyOgZhMrWtI,Ez8F0nW6S-w,2023-08-24T16:49:21Z,UCBwmMxybNva6P_5VmxjzwqA,Complete Git and GitHub Tutorial for Beginners,Apna College,2037252,48291,,2211,5290000
ZKSMwAfYMzYVRxM3IccCuKY7VVk,bBq4C5GqaGg,2023-08-29T03:30:10Z,UC3IVNySlKxgBW66iwkF5iuA,Ab Yaad Na Aao Rehne Do (Slowed and Reverb) -  || Nasheed || Tabeeb E Qalb,Tabeeb E Qalb,1273453,26066,,733,8960
M6KiyyxTwY-l7eghEJOSrwtcIXw,bBq4C5GqaGg,2023-08-29T03:30:10Z,UC3IVNySlKxgBW66iwkF5iuA,Ab Yaad Na Aao Rehne Do (Slowed and Reverb) -  || Nasheed || Tabeeb E Qalb,Tabeeb E Qalb,1273473,26066,,733,8960
hlJ8qBOOyi9_nveNgohX5g94vtQ,i0J_xO-AH0s,2020-12-07T13:00:24Z,UCPSqEucAapDUvu6E9SueXTQ,SLANDER - Love Is Gone (ft. Dylan Matthew) | 8D audio | [USE HEADPHONES],Nitro Boylit,97418,2274,,83,2400
aMIx6bnb08meFw_t8FH4mKUK7R0,FMJnqSS_EnE,2024-05-16T14:08:19Z,UC78xn4xo6Kr3mgEuG7q-sbg,Kabe Ki Ronaq - (Slowed   Reverb) - Ghulam Mustafa Qadri | Its.Faizee_92,NoobBôT92,1469,25,,1,1070
hlJ8qBOOyi9_nveNgohX5g94vtQ,i0J_xO-AH0s,2020-12-07T13:00:24Z,UCPSqEucAapDUvu6E9SueXTQ,SLANDER - Love Is Gone (ft. Dylan Matthew) | 8D audio | [USE HEADPHONES],Nitro Boylit,97418,2274,,83,2400
AcSF1-RibCPpYl7LU2YET1NsZOo,FMJnqSS_EnE,2024-05-16T14:08:19Z,UC78xn4xo6Kr3mgEuG7q-sbg,Kabe Ki Ronaq - (Slowed   Reverb) - Ghulam Mustafa Qadri | Its.Faizee_92,NoobBôT92,1470,25,,1,1070
